RelationshipStatus,HowLongRelationship,HowOften,Snores,FrequentBathroom,Sick,NoIntimate,TempPreferences,Argument,NoSpace,NoCovers,Child,NightWorking,FirstTime,StayTogether,SleepBetter,SexLife,Occupation,Gender,Age,Income,Education,Location
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Management Occupations,Male,45-60,,High school degree,West South Central
Married,16-20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific
Married,16-20 years,Once a month or less,0,0,1,0,0,1,0,0,0,1,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,New England
"Single, but cohabiting with a significant other",Less than 1 year,Never,0,0,0,0,0,0,0,0,0,0,,,,,Retired,Male,30-44,,Bachelor degree,Pacific
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Other,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic
Married,1-5 years,Every night,0,0,0,0,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Business and Financial Operations Occupations,Male,18-29,"$150,000+",Graduate degree,Middle Atlantic
Married,16-20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Retired,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
Married,11-15 years,A few times per month,1,1,0,1,0,0,0,1,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Building and Grounds Cleaning and Maintenance Occupations,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central
Married,11-15 years,Once a year or less,1,0,0,0,0,0,0,0,1,0,Within 6-10 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
Married,6-10 years,A few times per month,0,0,0,0,0,0,0,0,0,1,Immediately/ We've always slept in separate beds,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Business and Financial Operations Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Life, Physical, and Social Science Occupations",Male,45-60,"$100,000 - $149,999",Bachelor degree,New England
Married,1-5 years,Once a year or less,0,0,1,0,0,1,0,0,1,1,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Computer and Mathematical Occupations,Male,18-29,"$150,000+",Bachelor degree,East North Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Computer and Mathematical Occupations,Male,45-60,"$150,000+",Bachelor degree,South Atlantic
Married,More than 20 years,A few times per month,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,West North Central
Married,1-5 years,Once a month or less,0,0,1,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat agree,Legal Occupations,Male,18-29,"$150,000+",Graduate degree,West South Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central
In a domestic partnership or civil union,1-5 years,Every night,0,0,0,0,0,0,0,0,0,0,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Management Occupations,Female,18-29,,Bachelor degree,South Atlantic
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Production Occupations,Male,45-60,"$150,000+",Some college or Associate degree,South Atlantic
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central
In a domestic partnership or civil union,1-5 years,A few times per month,1,0,0,0,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Somewhat disagree,Strongly disagree,Office and Administrative Support Occupations,Male,30-44,"$0 - $24,999",Bachelor degree,Pacific
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Architecture and Engineering Occupations,Male,45-60,"$150,000+",Bachelor degree,West North Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Computer and Mathematical Occupations,Male,45-60,"$150,000+",Bachelor degree,Mountain
Married,11-15 years,A few times per month,0,0,0,0,0,0,0,0,0,1,Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Strongly agree,Healthcare Practitioners and Technical Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
"Single, but cohabiting with a significant other",1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Architecture and Engineering Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Disabled,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
"Single, but cohabiting with a significant other",6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Sales and Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Education, Training, and Library Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
"Single, but cohabiting with a significant other",6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Sales and Related Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Healthcare Support Occupations,Male,30-44,"$150,000+",Graduate degree,West North Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Management Occupations,Male,45-60,,Graduate degree,East North Central
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Business and Financial Operations Occupations,Male,30-44,"$150,000+",Bachelor degree,West South Central
Separated,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
"Single, but cohabiting with a significant other",1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Sales and Related Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Life, Physical, and Social Science Occupations",Male,45-60,"$150,000+",Bachelor degree,Pacific
Married,1-5 years,Every night,1,1,0,0,0,0,0,0,0,0,Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Strongly agree,Retired,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
In a domestic partnership or civil union,11-15 years,Once a year or less,1,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Other,Male,45-60,"$100,000 - $149,999",High school degree,South Atlantic
Married,1-5 years,Once a month or less,0,0,1,0,0,1,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Management Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Mountain
Married,11-15 years,A few times per week,1,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Production Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,
Married,11-15 years,Once a month or less,0,0,0,1,0,1,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Construction and Extraction Occupations,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic
Married,16-20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Management Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central
"Single, but cohabiting with a significant other",6-10 years,Once a month or less,1,0,0,0,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Other,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
Married,More than 20 years,Every night,1,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat agree,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,New England
"Single, but cohabiting with a significant other",More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Other,Male,45-60,,Some college or Associate degree,Middle Atlantic
Married,More than 20 years,Every night,1,1,0,1,0,0,0,0,0,0,After 20 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Architecture and Engineering Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
Married,6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Education, Training, and Library Occupations",Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Management Occupations,Male,45-60,,Bachelor degree,West South Central
Married,More than 20 years,Every night,1,0,0,1,0,0,0,0,0,0,Within 16-20 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central
Married,6-10 years,Once a month or less,0,0,1,0,0,1,0,0,1,0,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
"Single, but cohabiting with a significant other",16-20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Personal Care and Service Occupations,Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic
Married,16-20 years,A few times per week,0,0,0,0,0,1,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Homemaker,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,New England
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Legal Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Management Occupations,Male,45-60,"$150,000+",Graduate degree,Pacific
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Legal Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,Mountain
"Single, but cohabiting with a significant other",6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Transportation and Materials Moving Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Management Occupations,Male,18-29,"$50,000 - $99,999",High school degree,West South Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Computer and Mathematical Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain
"Single, but cohabiting with a significant other",6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Disabled,Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic
Married,More than 20 years,A few times per month,1,0,1,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
"Single, but cohabiting with a significant other",11-15 years,Once a month or less,1,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Community and Social Service Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
Married,11-15 years,A few times per month,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Construction and Extraction Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Architecture and Engineering Occupations,Male,45-60,,Bachelor degree,New England
